City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,288.05,99,100,1.34,NZ,2024-12-31
1,tiksi,71.6872,128.8694,247.26,100,100,2.68,RU,2024-12-31
2,khor,47.8861,134.9464,247.58,100,77,1.71,RU,2024-12-31
3,college,64.8569,-147.8028,245.98,70,0,0.0,US,2024-12-31
4,terrace,54.5163,-128.6035,273.1,100,100,5.14,CA,2024-12-31
5,ust-nera,64.5667,143.2,240.55,98,100,2.01,RU,2024-12-31
6,happy valley-goose bay,53.3168,-60.3315,275.53,93,100,1.88,CA,2024-12-31
7,salinas,36.6777,-121.6555,280.41,81,0,3.09,US,2024-12-31
8,longyearbyen,78.2186,15.6401,259.06,72,20,2.57,SJ,2024-12-31
9,kapa'a,22.0752,-159.319,297.33,100,20,5.66,US,2024-12-31
10,akureyri,65.6835,-18.0878,256.87,80,5,2.17,IS,2024-12-31
11,grytviken,-54.2811,-36.5092,281.5,68,97,6.29,GS,2024-12-31
12,port alfred,-33.5906,26.891,296.58,71,59,2.24,ZA,2024-12-31
13,invercargill,-46.4,168.35,283.72,89,100,0.89,NZ,2024-12-31
14,kristinestad,62.2743,21.376,270.78,69,90,6.28,FI,2024-12-31
15,ola,59.5833,151.2833,247.76,92,7,3.42,RU,2024-12-31
16,igarka,67.4667,86.5833,260.64,93,100,10.29,RU,2024-12-31
17,constantia,44.1833,28.65,276.53,72,7,3.21,RO,2024-12-31
18,hondarribia,43.372,-1.7945,279.07,100,40,1.54,ES,2024-12-31
19,avarua,-21.2078,-159.775,295.18,100,20,0.51,CK,2024-12-31
20,margaret river,-33.95,115.0667,292.05,58,100,5.15,AU,2024-12-31
21,makurdi,7.7411,8.5121,311.74,9,99,3.66,NG,2024-12-31
22,grebenhain,50.4892,9.3386,271.65,83,13,4.43,DE,2024-12-31
23,itabera,-23.8619,-49.1372,301.58,52,69,1.57,BR,2024-12-31
24,puerto ayora,-0.7393,-90.3518,297.34,96,11,0.45,EC,2024-12-31
25,atafu village,-8.5421,-172.5159,300.97,77,97,4.38,TK,2024-12-31
26,hawaiian paradise park,19.5933,-154.9731,294.76,99,75,0.0,US,2024-12-31
27,kavieng,-2.5744,150.7967,301.15,75,87,2.56,PG,2024-12-31
28,puerto natales,-51.7236,-72.4875,289.4,55,20,8.23,CL,2024-12-31
29,edinburgh of the seven seas,-37.0676,-12.3116,287.17,72,100,8.52,SH,2024-12-31
30,hermanus,-34.4187,19.2345,295.26,62,0,7.48,ZA,2024-12-31
31,saipan,15.1355,145.701,301.54,80,40,4.63,MP,2024-12-31
32,albany,42.6001,-73.9662,278.93,74,57,0.89,US,2024-12-31
33,anadyr,64.75,177.4833,268.43,86,75,12.0,RU,2024-12-31
34,thompson,55.7435,-97.8558,266.24,93,100,3.09,CA,2024-12-31
35,kourou,5.1552,-52.6478,298.81,84,100,2.67,GF,2024-12-31
36,vadso,70.0744,29.7487,271.24,86,40,5.66,NO,2024-12-31
37,shuangjiang,26.1547,109.7138,280.93,57,0,1.67,CN,2024-12-31
38,port-aux-francais,-49.35,70.2167,277.19,71,71,13.76,TF,2024-12-31
39,palmas,-10.2128,-48.3603,302.08,70,75,5.14,BR,2024-12-31
40,ushuaia,-54.8,-68.3,282.48,99,100,0.75,AR,2024-12-31
41,papatowai,-46.5619,169.4708,284.33,90,100,1.57,NZ,2024-12-31
42,lospalos,-8.5186,127.0025,295.73,92,100,0.46,TL,2024-12-31
43,guerrero negro,27.9769,-114.0611,286.07,90,0,2.29,MX,2024-12-31
44,yigo village,13.5361,144.8886,300.31,80,75,5.14,GU,2024-12-31
45,grand falls-windsor,48.9332,-55.6649,274.54,92,100,2.24,CA,2024-12-31
46,new norfolk,-42.7826,147.0587,285.88,73,0,1.39,AU,2024-12-31
47,northam,51.0333,-4.2167,284.71,81,97,4.92,GB,2024-12-31
48,pauini,-7.7136,-66.9764,298.97,95,100,1.16,BR,2024-12-31
49,bethel,41.3712,-73.414,281.6,67,0,2.57,US,2024-12-31
50,west island,-12.1568,96.8225,299.14,83,100,1.54,CC,2024-12-31
51,jamestown,42.097,-79.2353,276.49,97,75,3.09,US,2024-12-31
52,lompoc,34.6391,-120.4579,282.55,74,0,4.92,US,2024-12-31
53,karystos,38.0133,24.4161,287.27,19,0,8.94,GR,2024-12-31
54,afaahiti,-17.75,-149.2833,297.65,89,88,3.6,PF,2024-12-31
55,richards bay,-28.783,32.0377,298.35,93,87,3.91,ZA,2024-12-31
56,shihezi,44.3,86.0333,264.68,89,100,0.74,CN,2024-12-31
57,cadale,2.7603,46.3222,298.75,74,57,9.2,SO,2024-12-31
58,yaren,-0.5472,166.916,300.4,72,100,5.52,NR,2024-12-31
59,port elizabeth,-33.918,25.5701,297.31,70,20,10.29,ZA,2024-12-31
60,mirny,62.5353,113.9611,242.53,100,100,0.28,RU,2024-12-31
61,tolanaro,-25.0319,46.9987,300.94,74,3,7.99,MG,2024-12-31
62,cabo san lucas,22.8909,-109.9124,291.32,51,0,2.57,MX,2024-12-31
63,crane,31.3974,-102.3501,281.55,33,0,6.03,US,2024-12-31
64,sake,-1.5736,29.045,294.33,69,100,0.84,CD,2024-12-31
65,hawera,-39.5917,174.2833,287.4,76,100,3.72,NZ,2024-12-31
66,lobujya,27.95,86.8167,258.6,15,0,5.14,NP,2024-12-31
67,desaguadero,-16.5656,-69.0417,287.32,45,100,5.4,PE,2024-12-31
68,castillos,-34.1667,-53.8333,298.97,52,3,5.19,UY,2024-12-31
69,karratha,-20.7377,116.8463,304.41,64,6,5.25,AU,2024-12-31
70,nagqu,31.5,92.0,264.43,25,4,1.52,CN,2024-12-31
71,adamstown,-25.066,-130.1015,296.76,86,99,8.51,PN,2024-12-31
72,isafjordur,66.0755,-23.124,266.64,70,95,3.73,IS,2024-12-31
73,xinpu,34.5997,119.1594,275.45,39,0,2.2,CN,2024-12-31
74,iqaluit,63.7506,-68.5145,249.09,69,75,1.03,CA,2024-12-31
75,fort st. john,56.2499,-120.8529,255.38,97,100,1.42,CA,2024-12-31
